row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,76
1,NetDwellingsRangeTo,default,76
2,NetDwellingsRangeFrom,default,23
2,NetDwellingsRangeTo,default,23
3,NetDwellingsRangeFrom,default,101
3,NetDwellingsRangeTo,default,101
4,NetDwellingsRangeFrom,default,21
4,NetDwellingsRangeTo,default,21
5,NetDwellingsRangeFrom,default,36
5,NetDwellingsRangeTo,default,36
6,NetDwellingsRangeFrom,default,6
6,NetDwellingsRangeTo,default,6
7,NetDwellingsRangeFrom,default,26
7,NetDwellingsRangeTo,default,26
8,NetDwellingsRangeFrom,default,6
8,NetDwellingsRangeTo,default,6
9,NetDwellingsRangeFrom,default,7
9,NetDwellingsRangeTo,default,7
10,NetDwellingsRangeFrom,default,17
10,NetDwellingsRangeTo,default,17
11,NetDwellingsRangeFrom,default,130
11,NetDwellingsRangeTo,default,130
12,NetDwellingsRangeFrom,default,10
12,NetDwellingsRangeTo,default,10
13,NetDwellingsRangeFrom,default,69
13,NetDwellingsRangeTo,default,69
14,NetDwellingsRangeFrom,default,28
14,NetDwellingsRangeTo,default,28
15,NetDwellingsRangeFrom,default,62
15,NetDwellingsRangeTo,default,62
16,NetDwellingsRangeFrom,default,18
16,NetDwellingsRangeTo,default,18
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
18,NetDwellingsRangeFrom,default,20
18,NetDwellingsRangeTo,default,20
19,NetDwellingsRangeFrom,default,72
19,NetDwellingsRangeTo,default,72
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeFrom,default,5
21,NetDwellingsRangeTo,default,5
22,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeTo,default,6
23,NetDwellingsRangeFrom,default,18
23,NetDwellingsRangeTo,default,18
24,NetDwellingsRangeFrom,default,5
24,NetDwellingsRangeTo,default,5
25,NetDwellingsRangeFrom,default,38
25,NetDwellingsRangeTo,default,38
26,NetDwellingsRangeFrom,default,12
26,NetDwellingsRangeTo,default,12
27,NetDwellingsRangeFrom,default,12
27,NetDwellingsRangeTo,default,12
28,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeTo,default,5
29,NetDwellingsRangeFrom,default,5
29,NetDwellingsRangeTo,default,5
30,NetDwellingsRangeFrom,default,28
30,NetDwellingsRangeTo,default,28
31,NetDwellingsRangeFrom,default,15
31,NetDwellingsRangeTo,default,15
32,NetDwellingsRangeFrom,default,11
32,NetDwellingsRangeTo,default,11
33,NetDwellingsRangeFrom,default,34
33,NetDwellingsRangeTo,default,34
34,NetDwellingsRangeFrom,default,22
34,NetDwellingsRangeTo,default,22
35,NetDwellingsRangeFrom,default,1531
35,NetDwellingsRangeTo,default,1531
36,NetDwellingsRangeFrom,default,5
36,NetDwellingsRangeTo,default,5
37,NetDwellingsRangeFrom,default,14
37,NetDwellingsRangeTo,default,14
38,NetDwellingsRangeFrom,default,141
38,NetDwellingsRangeTo,default,141
39,NetDwellingsRangeFrom,default,8
39,NetDwellingsRangeTo,default,8
40,NetDwellingsRangeFrom,default,8
40,NetDwellingsRangeTo,default,8
41,NetDwellingsRangeFrom,default,22
41,NetDwellingsRangeTo,default,22
42,NetDwellingsRangeFrom,default,5
42,NetDwellingsRangeTo,default,5
43,NetDwellingsRangeFrom,default,12
43,NetDwellingsRangeTo,default,12
44,NetDwellingsRangeFrom,default,5
44,NetDwellingsRangeTo,default,5
45,NetDwellingsRangeFrom,default,16
45,NetDwellingsRangeTo,default,16
46,NetDwellingsRangeFrom,default,5
46,NetDwellingsRangeTo,default,5
47,NetDwellingsRangeFrom,default,28
47,NetDwellingsRangeTo,default,28
48,NetDwellingsRangeFrom,default,6
48,NetDwellingsRangeTo,default,6
49,NetDwellingsRangeFrom,default,47
49,NetDwellingsRangeTo,default,47
50,NetDwellingsRangeFrom,default,5
50,NetDwellingsRangeTo,default,5
51,NetDwellingsRangeFrom,default,11
51,NetDwellingsRangeTo,default,11
52,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeTo,default,5
53,NetDwellingsRangeFrom,default,7
53,NetDwellingsRangeTo,default,7
54,NetDwellingsRangeFrom,default,12
54,NetDwellingsRangeTo,default,12
55,NetDwellingsRangeFrom,default,13
55,NetDwellingsRangeTo,default,13
56,NetDwellingsRangeFrom,default,6
56,NetDwellingsRangeTo,default,6
57,NetDwellingsRangeFrom,default,10
57,NetDwellingsRangeTo,default,10
58,NetDwellingsRangeFrom,default,18
58,NetDwellingsRangeTo,default,18
59,NetDwellingsRangeFrom,default,13
59,NetDwellingsRangeTo,default,13
60,NetDwellingsRangeFrom,default,5
60,NetDwellingsRangeTo,default,5
61,NetDwellingsRangeFrom,default,20
61,NetDwellingsRangeTo,default,20
62,NetDwellingsRangeFrom,default,42
62,NetDwellingsRangeTo,default,42
63,NetDwellingsRangeFrom,default,150
63,NetDwellingsRangeTo,default,150
64,NetDwellingsRangeFrom,default,33
64,NetDwellingsRangeTo,default,33
65,NetDwellingsRangeFrom,default,5
65,NetDwellingsRangeTo,default,5
66,NetDwellingsRangeFrom,default,13
66,NetDwellingsRangeTo,default,13
67,NetDwellingsRangeFrom,default,11
67,NetDwellingsRangeTo,default,11
68,NetDwellingsRangeFrom,default,26
68,NetDwellingsRangeTo,default,26
69,NetDwellingsRangeFrom,default,48
69,NetDwellingsRangeTo,default,48
70,NetDwellingsRangeFrom,default,5
70,NetDwellingsRangeTo,default,5
71,NetDwellingsRangeFrom,default,6
71,NetDwellingsRangeTo,default,6
72,NetDwellingsRangeFrom,default,13
72,NetDwellingsRangeTo,default,13
73,NetDwellingsRangeFrom,default,6
73,NetDwellingsRangeTo,default,6
74,NetDwellingsRangeFrom,default,230
74,NetDwellingsRangeTo,default,230
75,NetDwellingsRangeFrom,default,25
75,NetDwellingsRangeTo,default,25
76,NetDwellingsRangeFrom,default,38
76,NetDwellingsRangeTo,default,38
77,NetDwellingsRangeFrom,default,6
77,NetDwellingsRangeTo,default,6
78,NetDwellingsRangeFrom,default,6
78,NetDwellingsRangeTo,default,6
79,NetDwellingsRangeFrom,default,12
79,NetDwellingsRangeTo,default,12
80,NetDwellingsRangeFrom,default,7
80,NetDwellingsRangeTo,default,7
81,NetDwellingsRangeFrom,default,7
81,NetDwellingsRangeTo,default,7
82,NetDwellingsRangeFrom,default,5
82,NetDwellingsRangeTo,default,5
