row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,500
1,NetDwellingsRangeTo,default,500
2,NetDwellingsRangeFrom,default,400
2,NetDwellingsRangeTo,default,400
3,NetDwellingsRangeFrom,default,75
3,NetDwellingsRangeTo,default,75
4,NetDwellingsRangeFrom,default,140
4,NetDwellingsRangeTo,default,140
5,NetDwellingsRangeFrom,default,30
5,NetDwellingsRangeTo,default,30
6,NetDwellingsRangeFrom,default,23
6,NetDwellingsRangeTo,default,23
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,NetDwellingsRangeFrom,default,10
8,NetDwellingsRangeTo,default,10
9,NetDwellingsRangeFrom,default,350
9,NetDwellingsRangeTo,default,350
10,NetDwellingsRangeFrom,default,30
10,NetDwellingsRangeTo,default,30
11,NetDwellingsRangeFrom,default,36
11,NetDwellingsRangeTo,default,36
12,NetDwellingsRangeFrom,default,25
12,NetDwellingsRangeTo,default,25
13,NetDwellingsRangeFrom,default,10
13,NetDwellingsRangeTo,default,10
14,NetDwellingsRangeFrom,default,31
14,NetDwellingsRangeTo,default,31
15,NetDwellingsRangeFrom,default,25
15,NetDwellingsRangeTo,default,25
16,NetDwellingsRangeFrom,default,66
16,NetDwellingsRangeTo,default,66
17,NetDwellingsRangeFrom,default,100
17,NetDwellingsRangeTo,default,100
18,NetDwellingsRangeFrom,default,11
18,NetDwellingsRangeTo,default,11
19,NetDwellingsRangeFrom,default,25
19,NetDwellingsRangeTo,default,25
20,NetDwellingsRangeFrom,default,10
20,NetDwellingsRangeTo,default,10
21,NetDwellingsRangeFrom,default,10
21,NetDwellingsRangeTo,default,10
22,NetDwellingsRangeFrom,default,12
22,NetDwellingsRangeTo,default,12
23,NetDwellingsRangeFrom,default,45
23,NetDwellingsRangeTo,default,45
24,NetDwellingsRangeFrom,default,20
24,NetDwellingsRangeTo,default,20
25,NetDwellingsRangeFrom,default,38
25,NetDwellingsRangeTo,default,38
26,NetDwellingsRangeFrom,default,40
26,NetDwellingsRangeTo,default,40
