row-number,field,issue-type,value
1,NetDwellingsRangeTo,default,40
2,NetDwellingsRangeTo,default,33
3,NetDwellingsRangeTo,default,12
4,NetDwellingsRangeTo,default,40
5,NetDwellingsRangeTo,default,5
6,NetDwellingsRangeTo,default,45
7,NetDwellingsRangeTo,default,25
8,NetDwellingsRangeTo,default,15
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeTo,default,9
11,NetDwellingsRangeTo,default,10
12,NetDwellingsRangeTo,default,4
13,NetDwellingsRangeTo,default,5
14,NetDwellingsRangeTo,default,5
15,NetDwellingsRangeTo,default,2
16,NetDwellingsRangeTo,default,50
17,NetDwellingsRangeTo,default,750
18,NetDwellingsRangeTo,default,120
19,NetDwellingsRangeTo,default,10
20,NetDwellingsRangeTo,default,10
21,NetDwellingsRangeTo,default,30
22,NetDwellingsRangeTo,default,11
23,NetDwellingsRangeTo,default,5
24,NetDwellingsRangeTo,default,5
25,NetDwellingsRangeTo,default,5
26,NetDwellingsRangeTo,default,2
