row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,20
1,NetDwellingsRangeTo,default,20
2,NetDwellingsRangeFrom,default,50
2,NetDwellingsRangeTo,default,50
3,NetDwellingsRangeFrom,default,5
3,NetDwellingsRangeTo,default,5
4,NetDwellingsRangeFrom,default,60
4,NetDwellingsRangeTo,default,60
5,NetDwellingsRangeFrom,default,8
5,NetDwellingsRangeTo,default,8
6,NetDwellingsRangeFrom,default,10
6,NetDwellingsRangeTo,default,10
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,NetDwellingsRangeFrom,default,13
8,NetDwellingsRangeTo,default,13
9,NetDwellingsRangeFrom,default,4
9,NetDwellingsRangeTo,default,4
10,NetDwellingsRangeFrom,default,9
10,NetDwellingsRangeTo,default,9
11,NetDwellingsRangeFrom,default,10
11,NetDwellingsRangeTo,default,10
12,NetDwellingsRangeFrom,default,8
12,NetDwellingsRangeTo,default,8
13,NetDwellingsRangeFrom,default,2
13,NetDwellingsRangeTo,default,2
14,NetDwellingsRangeFrom,default,10
14,NetDwellingsRangeTo,default,10
15,NetDwellingsRangeFrom,default,44
15,NetDwellingsRangeTo,default,44
16,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeTo,default,6
17,NetDwellingsRangeFrom,default,8
17,NetDwellingsRangeTo,default,8
