row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,71
1,NetDwellingsRangeTo,default,71
1,LastUpdatedDate,default,2017-12-19
2,NetDwellingsRangeFrom,default,14
2,NetDwellingsRangeTo,default,14
2,LastUpdatedDate,default,2017-12-19
3,NetDwellingsRangeFrom,default,23
3,NetDwellingsRangeTo,default,23
3,LastUpdatedDate,default,2017-12-19
4,NetDwellingsRangeFrom,default,8
4,NetDwellingsRangeTo,default,8
4,LastUpdatedDate,default,2017-12-19
5,NetDwellingsRangeFrom,default,73
5,NetDwellingsRangeTo,default,73
5,LastUpdatedDate,default,2017-12-19
6,NetDwellingsRangeFrom,default,51
6,NetDwellingsRangeTo,default,51
6,LastUpdatedDate,default,2017-12-19
7,NetDwellingsRangeFrom,default,33
7,NetDwellingsRangeTo,default,33
7,LastUpdatedDate,default,2017-12-19
8,NetDwellingsRangeFrom,default,67
8,NetDwellingsRangeTo,default,67
8,LastUpdatedDate,default,2017-12-19
9,NetDwellingsRangeFrom,default,14
9,NetDwellingsRangeTo,default,14
9,LastUpdatedDate,default,2017-12-19
10,NetDwellingsRangeFrom,default,16
10,NetDwellingsRangeTo,default,16
10,LastUpdatedDate,default,2017-12-19
11,NetDwellingsRangeFrom,default,8
11,NetDwellingsRangeTo,default,8
11,LastUpdatedDate,default,2017-12-19
12,NetDwellingsRangeFrom,default,13
12,NetDwellingsRangeTo,default,13
12,LastUpdatedDate,default,2017-12-19
13,NetDwellingsRangeFrom,default,78
13,NetDwellingsRangeTo,default,78
13,LastUpdatedDate,default,2017-12-19
14,NetDwellingsRangeFrom,default,300
14,NetDwellingsRangeTo,default,300
14,LastUpdatedDate,default,2017-12-19
15,NetDwellingsRangeFrom,default,16
15,NetDwellingsRangeTo,default,16
15,LastUpdatedDate,default,2017-12-19
16,NetDwellingsRangeFrom,default,30
16,NetDwellingsRangeTo,default,30
16,LastUpdatedDate,default,2017-12-19
17,NetDwellingsRangeFrom,default,14
17,NetDwellingsRangeTo,default,14
17,LastUpdatedDate,default,2017-12-19
18,NetDwellingsRangeFrom,default,20
18,NetDwellingsRangeTo,default,20
18,LastUpdatedDate,default,2017-12-19
19,NetDwellingsRangeFrom,default,40
19,NetDwellingsRangeTo,default,40
19,LastUpdatedDate,default,2017-12-19
20,NetDwellingsRangeFrom,default,6
20,NetDwellingsRangeTo,default,6
20,LastUpdatedDate,default,2017-12-19
21,NetDwellingsRangeFrom,default,14
21,NetDwellingsRangeTo,default,14
21,LastUpdatedDate,default,2017-12-19
22,NetDwellingsRangeFrom,default,34
22,NetDwellingsRangeTo,default,34
22,LastUpdatedDate,default,2017-12-19
23,NetDwellingsRangeFrom,default,60
23,NetDwellingsRangeTo,default,60
23,LastUpdatedDate,default,2017-12-19
24,NetDwellingsRangeFrom,default,44
24,NetDwellingsRangeTo,default,44
24,LastUpdatedDate,default,2017-12-19
25,NetDwellingsRangeFrom,default,15
25,NetDwellingsRangeTo,default,15
25,LastUpdatedDate,default,2017-12-19
