row-number,field,issue-type,value
1,NetDwellingsRangeTo,default,30
2,NetDwellingsRangeTo,default,40
3,NetDwellingsRangeTo,default,100
4,PermissionDate,date,"10.11.2016
10.07.2018"
4,NetDwellingsRangeTo,default,9
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,NetDwellingsRangeTo,default,15
7,NetDwellingsRangeTo,default,62
8,NetDwellingsRangeTo,default,30
9,NetDwellingsRangeTo,default,17
10,NetDwellingsRangeTo,default,45
11,NetDwellingsRangeTo,default,20
12,NetDwellingsRangeTo,default,10
13,NetDwellingsRangeTo,default,580
14,NetDwellingsRangeTo,default,5
15,NetDwellingsRangeTo,default,7
16,NetDwellingsRangeTo,default,200
17,NetDwellingsRangeTo,default,120
18,NetDwellingsRangeTo,default,14
19,NetDwellingsRangeTo,default,20
20,NetDwellingsRangeTo,default,10
21,PermissionDate,date,"10.11.2016
03.04.2020"
21,NetDwellingsRangeTo,default,8
22,NetDwellingsRangeTo,default,20
23,NetDwellingsRangeTo,default,12
24,NetDwellingsRangeTo,default,20
25,NetDwellingsRangeTo,default,14
26,PermissionDate,date,"02.10.2015
03.08.2018
24.11.2017"
26,NetDwellingsRangeTo,default,61
27,NetDwellingsRangeTo,default,9
28,NetDwellingsRangeTo,default,37
29,PermissionDate,date,"17.12.2014
06.10.2015"
29,NetDwellingsRangeTo,default,154
30,NetDwellingsRangeTo,default,151
31,NetDwellingsRangeTo,default,20
32,NetDwellingsRangeTo,default,100
33,NetDwellingsRangeTo,default,105
34,NetDwellingsRangeTo,default,6
35,NetDwellingsRangeTo,default,40
36,GeoX,decimal,"622935
(ref for 12/00143/ET only)"
36,GeoY,decimal,"309079
(ref for 12/00143/ET only)"
36,NetDwellingsRangeTo,default,150
36,GeoX,missing,
36,GeoY,missing,
37,NetDwellingsRangeTo,default,10
38,PermissionDate,date,"16.04.2015
23.11.2018"
38,NetDwellingsRangeTo,default,40
39,NetDwellingsRangeTo,default,20
40,NetDwellingsRangeTo,default,101
41,PermissionDate,date,"25.10.2016
22.12.2017
16.02.2017
21.09.2020"
41,NetDwellingsRangeTo,default,37
42,NetDwellingsRangeTo,default,25
43,NetDwellingsRangeTo,default,8
44,NetDwellingsRangeTo,default,17
45,NetDwellingsRangeTo,default,30
46,NetDwellingsRangeTo,default,250
47,NetDwellingsRangeTo,default,15
48,NetDwellingsRangeTo,default,25
49,PermissionType,enum,"full planning permission
Reserved matters"
49,PermissionDate,date,"17.12.2015
21.12.2018"
49,NetDwellingsRangeTo,default,29
50,NetDwellingsRangeTo,default,100
51,NetDwellingsRangeTo,default,75
52,NetDwellingsRangeTo,default,30
53,PermissionType,enum,demolition
53,NetDwellingsRangeTo,default,11
54,PermissionDate,date,"19.07.2016
15.02.2018"
54,NetDwellingsRangeTo,default,5
55,NetDwellingsRangeTo,default,73
56,NetDwellingsRangeTo,default,12
57,NetDwellingsRangeTo,default,25
58,NetDwellingsRangeTo,default,11
59,PermissionType,enum,"outline planning permission
full planning permission"
59,PermissionDate,date,"15.11.2012
04.09.2019"
59,NetDwellingsRangeFrom,integer,"200
220"
59,NetDwellingsRangeFrom,missing,
59,NetDwellingsRangeTo,missing,
60,NetDwellingsRangeTo,default,50
61,NetDwellingsRangeTo,default,100
62,NetDwellingsRangeTo,default,15
63,PermissionDate,date,"05.11.2013
19.02.2019"
63,NetDwellingsRangeTo,default,300
64,NetDwellingsRangeTo,default,400
65,PermissionDate,date,"30.01.2009
12.07.2013"
65,NetDwellingsRangeTo,default,20
66,NetDwellingsRangeTo,default,20
67,NetDwellingsRangeTo,default,437
68,NetDwellingsRangeTo,default,41
69,NetDwellingsRangeTo,default,150
70,NetDwellingsRangeTo,default,6
71,NetDwellingsRangeTo,default,242
72,NetDwellingsRangeTo,default,30
73,NetDwellingsRangeTo,default,45
74,NetDwellingsRangeTo,default,25
75,NetDwellingsRangeTo,default,21
76,NetDwellingsRangeTo,default,134
77,NetDwellingsRangeTo,default,8
78,NetDwellingsRangeTo,default,24
79,NetDwellingsRangeTo,default,30
80,NetDwellingsRangeTo,default,150
81,NetDwellingsRangeTo,default,40
82,NetDwellingsRangeTo,default,25
83,NetDwellingsRangeTo,default,7
84,NetDwellingsRangeTo,default,12
85,NetDwellingsRangeTo,default,9
86,NetDwellingsRangeTo,default,28
87,NetDwellingsRangeTo,default,7
88,PermissionDate,date,"19.07.2018
14.08.2018"
88,NetDwellingsRangeTo,default,69
89,PermissionDate,date,"15.05.2018
22.10.2019"
89,NetDwellingsRangeTo,default,6
90,NetDwellingsRangeTo,default,5
91,NetDwellingsRangeTo,default,8
92,NetDwellingsRangeTo,default,8
93,NetDwellingsRangeTo,default,9
94,NetDwellingsRangeTo,default,9
95,NetDwellingsRangeTo,default,5
96,NetDwellingsRangeTo,default,6
97,NetDwellingsRangeTo,default,41
98,NetDwellingsRangeTo,default,9
99,NetDwellingsRangeTo,default,42
100,NetDwellingsRangeTo,default,246
101,NetDwellingsRangeTo,default,14
102,PermissionDate,date,"15.03.2018
30.07.2018"
102,NetDwellingsRangeTo,default,5
103,NetDwellingsRangeTo,default,7
104,NetDwellingsRangeTo,default,20
105,NetDwellingsRangeTo,default,19
106,NetDwellingsRangeTo,default,6
107,NetDwellingsRangeTo,default,56
108,NetDwellingsRangeTo,default,20
109,NetDwellingsRangeTo,default,1200
110,NetDwellingsRangeTo,default,49
111,NetDwellingsRangeTo,default,44
112,NetDwellingsRangeTo,default,6
113,NetDwellingsRangeTo,default,5
114,NetDwellingsRangeTo,default,25
115,NetDwellingsRangeTo,default,14
