row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,5
1,NetDwellingsRangeTo,default,5
2,NetDwellingsRangeFrom,default,22
2,NetDwellingsRangeTo,default,22
3,NetDwellingsRangeFrom,default,53
3,NetDwellingsRangeTo,default,53
4,NetDwellingsRangeFrom,default,6
4,NetDwellingsRangeTo,default,6
5,NetDwellingsRangeFrom,default,184
5,NetDwellingsRangeTo,default,184
6,NetDwellingsRangeFrom,default,5
6,NetDwellingsRangeTo,default,5
7,NetDwellingsRangeFrom,default,60
7,NetDwellingsRangeTo,default,60
8,NetDwellingsRangeFrom,default,30
8,NetDwellingsRangeTo,default,30
9,NetDwellingsRangeFrom,default,9
9,NetDwellingsRangeTo,default,9
10,NetDwellingsRangeFrom,default,6
10,NetDwellingsRangeTo,default,6
11,NetDwellingsRangeFrom,default,53
11,NetDwellingsRangeTo,default,53
12,NetDwellingsRangeFrom,default,13
12,NetDwellingsRangeTo,default,13
13,NetDwellingsRangeFrom,default,55
13,NetDwellingsRangeTo,default,55
14,NetDwellingsRangeFrom,default,16
14,NetDwellingsRangeTo,default,16
15,NetDwellingsRangeFrom,default,20
15,NetDwellingsRangeTo,default,20
16,NetDwellingsRangeFrom,default,22
16,NetDwellingsRangeTo,default,22
17,NetDwellingsRangeFrom,default,21
17,NetDwellingsRangeTo,default,21
18,NetDwellingsRangeFrom,default,6
18,NetDwellingsRangeTo,default,6
19,NetDwellingsRangeFrom,default,19
19,NetDwellingsRangeTo,default,19
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeFrom,default,5
21,NetDwellingsRangeTo,default,5
22,NetDwellingsRangeFrom,default,12
22,NetDwellingsRangeTo,default,12
23,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeTo,default,5
24,NetDwellingsRangeFrom,default,14
24,NetDwellingsRangeTo,default,14
25,NetDwellingsRangeFrom,default,9
25,NetDwellingsRangeTo,default,9
26,NetDwellingsRangeFrom,default,573
26,NetDwellingsRangeTo,default,573
27,NetDwellingsRangeFrom,default,8
27,NetDwellingsRangeTo,default,8
28,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeTo,default,5
29,NetDwellingsRangeFrom,default,164
29,NetDwellingsRangeTo,default,164
30,NetDwellingsRangeFrom,default,5
30,NetDwellingsRangeTo,default,5
31,NetDwellingsRangeFrom,default,315
31,NetDwellingsRangeTo,default,315
32,NetDwellingsRangeFrom,default,94
32,NetDwellingsRangeTo,default,94
33,NetDwellingsRangeFrom,default,14
33,NetDwellingsRangeTo,default,14
34,NetDwellingsRangeFrom,default,5
34,NetDwellingsRangeTo,default,5
35,NetDwellingsRangeFrom,default,4
35,NetDwellingsRangeTo,default,4
36,NetDwellingsRangeFrom,default,9
36,NetDwellingsRangeTo,default,9
37,NetDwellingsRangeFrom,default,13
37,NetDwellingsRangeTo,default,13
38,NetDwellingsRangeFrom,default,12
38,NetDwellingsRangeTo,default,12
39,NetDwellingsRangeFrom,default,5
39,NetDwellingsRangeTo,default,5
40,NetDwellingsRangeFrom,default,15
40,NetDwellingsRangeTo,default,15
41,NetDwellingsRangeFrom,default,10
41,NetDwellingsRangeTo,default,10
42,NetDwellingsRangeFrom,default,26
42,NetDwellingsRangeTo,default,26
43,NetDwellingsRangeFrom,default,6
43,NetDwellingsRangeTo,default,6
44,NetDwellingsRangeFrom,default,9
44,NetDwellingsRangeTo,default,9
45,NetDwellingsRangeFrom,default,121
45,NetDwellingsRangeTo,default,121
46,NetDwellingsRangeFrom,default,40
46,NetDwellingsRangeTo,default,40
47,NetDwellingsRangeFrom,default,7
47,NetDwellingsRangeTo,default,7
48,NetDwellingsRangeFrom,default,9
48,NetDwellingsRangeTo,default,9
49,NetDwellingsRangeFrom,default,38
49,NetDwellingsRangeTo,default,38
50,NetDwellingsRangeFrom,default,6
50,NetDwellingsRangeTo,default,6
51,NetDwellingsRangeFrom,default,27
51,NetDwellingsRangeTo,default,27
52,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeTo,default,5
53,NetDwellingsRangeFrom,default,106
53,NetDwellingsRangeTo,default,106
54,NetDwellingsRangeFrom,default,136
54,NetDwellingsRangeTo,default,136
55,NetDwellingsRangeFrom,default,6
55,NetDwellingsRangeTo,default,6
56,NetDwellingsRangeFrom,default,10
56,NetDwellingsRangeTo,default,10
57,NetDwellingsRangeFrom,default,58
57,NetDwellingsRangeTo,default,58
58,NetDwellingsRangeFrom,default,6
58,NetDwellingsRangeTo,default,6
59,NetDwellingsRangeFrom,default,6
59,NetDwellingsRangeTo,default,6
60,NetDwellingsRangeFrom,default,35
60,NetDwellingsRangeTo,default,35
61,NetDwellingsRangeFrom,default,7
61,NetDwellingsRangeTo,default,7
62,NetDwellingsRangeFrom,default,8
62,NetDwellingsRangeTo,default,8
63,NetDwellingsRangeFrom,default,22
63,NetDwellingsRangeTo,default,22
64,NetDwellingsRangeFrom,default,11
64,NetDwellingsRangeTo,default,11
65,NetDwellingsRangeFrom,default,60
65,NetDwellingsRangeTo,default,60
66,NetDwellingsRangeFrom,default,63
66,NetDwellingsRangeTo,default,63
67,NetDwellingsRangeFrom,default,5
67,NetDwellingsRangeTo,default,5
68,NetDwellingsRangeFrom,default,27
68,NetDwellingsRangeTo,default,27
69,NetDwellingsRangeFrom,default,7
69,NetDwellingsRangeTo,default,7
70,NetDwellingsRangeFrom,default,8
70,NetDwellingsRangeTo,default,8
71,NetDwellingsRangeFrom,default,8
71,NetDwellingsRangeTo,default,8
72,NetDwellingsRangeFrom,default,93
72,NetDwellingsRangeTo,default,93
73,NetDwellingsRangeFrom,default,6
73,NetDwellingsRangeTo,default,6
74,NetDwellingsRangeFrom,default,36
74,NetDwellingsRangeTo,default,36
75,NetDwellingsRangeFrom,default,50
75,NetDwellingsRangeTo,default,50
76,NetDwellingsRangeFrom,default,6
76,NetDwellingsRangeTo,default,6
77,NetDwellingsRangeFrom,default,10
77,NetDwellingsRangeTo,default,10
78,NetDwellingsRangeFrom,default,1000
78,NetDwellingsRangeTo,default,1000
79,NetDwellingsRangeFrom,default,5
79,NetDwellingsRangeTo,default,5
80,NetDwellingsRangeFrom,default,52
80,NetDwellingsRangeTo,default,52
81,NetDwellingsRangeFrom,default,22
81,NetDwellingsRangeTo,default,22
82,NetDwellingsRangeFrom,default,7
82,NetDwellingsRangeTo,default,7
83,NetDwellingsRangeFrom,default,1400
83,NetDwellingsRangeTo,default,1400
