row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,12
1,NetDwellingsRangeTo,default,12
2,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeTo,default,6
3,NetDwellingsRangeFrom,default,27
3,NetDwellingsRangeTo,default,27
4,NetDwellingsRangeFrom,default,1
4,NetDwellingsRangeTo,default,1
5,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeTo,default,6
6,NetDwellingsRangeFrom,default,485
6,NetDwellingsRangeTo,default,485
7,NetDwellingsRangeFrom,default,12
7,NetDwellingsRangeTo,default,12
8,NetDwellingsRangeFrom,default,8
8,NetDwellingsRangeTo,default,8
9,NetDwellingsRangeFrom,default,57
9,NetDwellingsRangeTo,default,57
10,NetDwellingsRangeFrom,default,15
10,NetDwellingsRangeTo,default,15
11,NetDwellingsRangeFrom,default,39
11,NetDwellingsRangeTo,default,39
12,NetDwellingsRangeFrom,default,1500
12,NetDwellingsRangeTo,default,1500
13,NetDwellingsRangeFrom,default,15
13,NetDwellingsRangeTo,default,15
14,NetDwellingsRangeFrom,default,44
14,NetDwellingsRangeTo,default,44
15,NetDwellingsRangeFrom,default,95
15,NetDwellingsRangeTo,default,95
16,NetDwellingsRangeFrom,default,38
16,NetDwellingsRangeTo,default,38
17,NetDwellingsRangeFrom,default,13
17,NetDwellingsRangeTo,default,13
18,NetDwellingsRangeFrom,default,15
18,NetDwellingsRangeTo,default,15
19,NetDwellingsRangeFrom,default,6
19,NetDwellingsRangeTo,default,6
