row-number,field,issue-type,value
5,NetDwellingsRangeFrom,default,32
5,NetDwellingsRangeTo,default,32
7,NetDwellingsRangeFrom,default,212
7,NetDwellingsRangeTo,default,212
10,NetDwellingsRangeFrom,default,25
10,NetDwellingsRangeTo,default,25
11,NetDwellingsRangeFrom,default,50
11,NetDwellingsRangeTo,default,50
15,NetDwellingsRangeFrom,default,17
15,NetDwellingsRangeTo,default,17
16,NetDwellingsRangeFrom,default,115
16,NetDwellingsRangeTo,default,115
17,NetDwellingsRangeFrom,default,22
17,NetDwellingsRangeTo,default,22
18,NetDwellingsRangeFrom,default,12
18,NetDwellingsRangeTo,default,12
20,NetDwellingsRangeFrom,default,18
20,NetDwellingsRangeTo,default,18
22,NetDwellingsRangeFrom,default,98
22,NetDwellingsRangeTo,default,98
24,NetDwellingsRangeFrom,default,85
24,NetDwellingsRangeTo,default,85
25,NetDwellingsRangeFrom,default,9
25,NetDwellingsRangeTo,default,9
29,NetDwellingsRangeFrom,default,38
29,NetDwellingsRangeTo,default,38
31,NetDwellingsRangeFrom,default,5
31,NetDwellingsRangeTo,default,5
