row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,77
1,NetDwellingsRangeTo,default,77
2,NetDwellingsRangeFrom,default,160
2,NetDwellingsRangeTo,default,160
3,NetDwellingsRangeFrom,default,21
3,NetDwellingsRangeTo,default,21
4,NetDwellingsRangeFrom,default,10
4,NetDwellingsRangeTo,default,10
5,NetDwellingsRangeFrom,default,10
5,NetDwellingsRangeTo,default,10
6,NetDwellingsRangeFrom,default,3
6,NetDwellingsRangeTo,default,3
7,NetDwellingsRangeFrom,default,1
7,NetDwellingsRangeTo,default,1
8,NetDwellingsRangeFrom,default,3
8,NetDwellingsRangeTo,default,3
9,NetDwellingsRangeFrom,default,16
9,NetDwellingsRangeTo,default,16
10,NetDwellingsRangeFrom,default,6
10,NetDwellingsRangeTo,default,6
11,NetDwellingsRangeFrom,default,20
11,NetDwellingsRangeTo,default,20
12,NetDwellingsRangeFrom,default,130
12,NetDwellingsRangeTo,default,130
13,NetDwellingsRangeFrom,default,36
13,NetDwellingsRangeTo,default,36
14,NetDwellingsRangeFrom,default,9
14,NetDwellingsRangeTo,default,9
15,NetDwellingsRangeFrom,default,11
15,NetDwellingsRangeTo,default,11
