row-number,field,issue-type,value
3,NetDwellingsRangeFrom,default,50
3,NetDwellingsRangeTo,default,50
4,NetDwellingsRangeFrom,default,12
4,NetDwellingsRangeTo,default,12
6,NetDwellingsRangeFrom,default,85
6,NetDwellingsRangeTo,default,85
7,NetDwellingsRangeFrom,default,18
7,NetDwellingsRangeTo,default,18
10,NetDwellingsRangeFrom,default,8
10,NetDwellingsRangeTo,default,8
13,NetDwellingsRangeFrom,default,30
13,NetDwellingsRangeTo,default,30
21,NetDwellingsRangeFrom,default,19
21,NetDwellingsRangeTo,default,19
22,NetDwellingsRangeFrom,default,33
22,NetDwellingsRangeTo,default,33
23,NetDwellingsRangeFrom,default,10
23,NetDwellingsRangeTo,default,10
24,NetDwellingsRangeFrom,default,18
24,NetDwellingsRangeTo,default,18
25,NetDwellingsRangeFrom,default,11
25,NetDwellingsRangeTo,default,11
26,NetDwellingsRangeFrom,default,11
26,NetDwellingsRangeTo,default,11
27,NetDwellingsRangeFrom,default,25
27,NetDwellingsRangeTo,default,25
28,NetDwellingsRangeFrom,default,45
28,NetDwellingsRangeTo,default,45
29,NetDwellingsRangeFrom,default,11
29,NetDwellingsRangeTo,default,11
32,NetDwellingsRangeFrom,default,70
32,NetDwellingsRangeTo,default,70
