row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,12
1,NetDwellingsRangeTo,default,12
2,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeTo,default,6
3,NetDwellingsRangeFrom,default,27
3,NetDwellingsRangeTo,default,27
4,NetDwellingsRangeFrom,default,1
4,NetDwellingsRangeTo,default,1
5,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeTo,default,6
6,NetDwellingsRangeFrom,default,485
6,NetDwellingsRangeTo,default,485
7,NetDwellingsRangeFrom,default,12
7,NetDwellingsRangeTo,default,12
8,NetDwellingsRangeFrom,default,8
8,NetDwellingsRangeTo,default,8
9,NetDwellingsRangeFrom,default,5
9,NetDwellingsRangeTo,default,5
10,NetDwellingsRangeFrom,default,57
10,NetDwellingsRangeTo,default,57
11,NetDwellingsRangeFrom,default,15
11,NetDwellingsRangeTo,default,15
12,NetDwellingsRangeFrom,default,42
12,NetDwellingsRangeTo,default,42
13,NetDwellingsRangeFrom,default,1500
13,NetDwellingsRangeTo,default,1500
14,NetDwellingsRangeFrom,default,15
14,NetDwellingsRangeTo,default,15
15,NetDwellingsRangeFrom,default,44
15,NetDwellingsRangeTo,default,44
16,NetDwellingsRangeFrom,default,95
16,NetDwellingsRangeTo,default,95
17,NetDwellingsRangeFrom,default,38
17,NetDwellingsRangeTo,default,38
