row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,53
1,NetDwellingsRangeTo,default,53
5,NetDwellingsRangeFrom,default,14
5,NetDwellingsRangeTo,default,14
6,NetDwellingsRangeFrom,default,48
6,NetDwellingsRangeTo,default,48
12,NetDwellingsRangeFrom,default,6
12,NetDwellingsRangeTo,default,6
14,NetDwellingsRangeFrom,default,19
14,NetDwellingsRangeTo,default,19
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeFrom,default,7
21,NetDwellingsRangeTo,default,7
22,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeTo,default,6
23,NetDwellingsRangeFrom,default,6
23,NetDwellingsRangeTo,default,6
24,NetDwellingsRangeFrom,default,8
24,NetDwellingsRangeTo,default,8
26,NetDwellingsRangeFrom,default,33
26,NetDwellingsRangeTo,default,33
27,NetDwellingsRangeFrom,default,310
27,NetDwellingsRangeTo,default,310
28,NetDwellingsRangeFrom,default,11
28,NetDwellingsRangeTo,default,11
29,NetDwellingsRangeFrom,default,374
29,NetDwellingsRangeTo,default,374
