row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,21
1,NetDwellingsRangeTo,default,21
2,NetDwellingsRangeFrom,default,272
2,NetDwellingsRangeTo,default,272
3,NetDwellingsRangeFrom,default,212
3,NetDwellingsRangeTo,default,212
4,NetDwellingsRangeFrom,default,140
4,NetDwellingsRangeTo,default,140
5,NetDwellingsRangeFrom,default,483
5,NetDwellingsRangeTo,default,483
6,NetDwellingsRangeFrom,default,250
6,NetDwellingsRangeTo,default,250
7,NetDwellingsRangeFrom,default,148
7,NetDwellingsRangeTo,default,148
8,NetDwellingsRangeFrom,default,90
8,NetDwellingsRangeTo,default,90
9,NetDwellingsRangeFrom,default,90
9,NetDwellingsRangeTo,default,90
10,NetDwellingsRangeFrom,default,203
10,NetDwellingsRangeTo,default,203
11,NetDwellingsRangeFrom,default,14
11,NetDwellingsRangeTo,default,14
12,NetDwellingsRangeFrom,default,66
12,NetDwellingsRangeTo,default,66
13,NetDwellingsRangeFrom,default,8
13,NetDwellingsRangeTo,default,8
14,NetDwellingsRangeFrom,default,60
14,NetDwellingsRangeTo,default,60
15,NetDwellingsRangeFrom,default,8
15,NetDwellingsRangeTo,default,8
16,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeTo,default,6
17,NetDwellingsRangeFrom,default,30
17,NetDwellingsRangeTo,default,30
18,NetDwellingsRangeFrom,default,8
18,NetDwellingsRangeTo,default,8
19,NetDwellingsRangeFrom,default,10
19,NetDwellingsRangeTo,default,10
20,NetDwellingsRangeFrom,default,8
20,NetDwellingsRangeTo,default,8
21,NetDwellingsRangeFrom,default,10
21,NetDwellingsRangeTo,default,10
22,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeTo,default,6
23,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeTo,default,5
24,NetDwellingsRangeFrom,default,9
24,NetDwellingsRangeTo,default,9
25,NetDwellingsRangeFrom,default,7
25,NetDwellingsRangeTo,default,7
26,NetDwellingsRangeFrom,default,32
26,NetDwellingsRangeTo,default,32
27,NetDwellingsRangeFrom,default,14
27,NetDwellingsRangeTo,default,14
28,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeTo,default,5
29,NetDwellingsRangeFrom,default,49
29,NetDwellingsRangeTo,default,49
30,NetDwellingsRangeFrom,default,5
30,NetDwellingsRangeTo,default,5
31,NetDwellingsRangeFrom,default,86
31,NetDwellingsRangeTo,default,86
32,NetDwellingsRangeFrom,default,5
32,NetDwellingsRangeTo,default,5
33,NetDwellingsRangeFrom,default,77
33,NetDwellingsRangeTo,default,77
34,NetDwellingsRangeFrom,default,25
34,NetDwellingsRangeTo,default,25
35,NetDwellingsRangeFrom,default,8
35,NetDwellingsRangeTo,default,8
36,NetDwellingsRangeFrom,default,7
36,NetDwellingsRangeTo,default,7
37,NetDwellingsRangeFrom,default,6
37,NetDwellingsRangeTo,default,6
38,NetDwellingsRangeFrom,default,25
38,NetDwellingsRangeTo,default,25
39,NetDwellingsRangeFrom,default,7
39,NetDwellingsRangeTo,default,7
40,NetDwellingsRangeFrom,default,8
40,NetDwellingsRangeTo,default,8
41,NetDwellingsRangeFrom,default,25
41,NetDwellingsRangeTo,default,25
42,NetDwellingsRangeFrom,default,9
42,NetDwellingsRangeTo,default,9
43,NetDwellingsRangeFrom,default,90
43,NetDwellingsRangeTo,default,90
44,NetDwellingsRangeFrom,default,6
44,NetDwellingsRangeTo,default,6
45,NetDwellingsRangeFrom,default,6
45,NetDwellingsRangeTo,default,6
46,NetDwellingsRangeFrom,default,10
46,NetDwellingsRangeTo,default,10
47,NetDwellingsRangeFrom,default,26
47,NetDwellingsRangeTo,default,26
48,NetDwellingsRangeFrom,default,100
48,NetDwellingsRangeTo,default,100
