row-number,field,issue-type,value
1,GeoX,decimal,-2.726972W
1,GeoY,decimal,52.045231N
1,NetDwellingsRangeTo,default,6
1,LastUpdatedDate,default,2020-06-09
1,GeoX,missing,
1,GeoY,missing,
1,Hectares,missing,
2,GeoX,decimal,-2.683533W
2,GeoY,decimal,52.053691N
2,NetDwellingsRangeTo,default,5
2,LastUpdatedDate,default,2020-06-09
2,GeoX,missing,
2,GeoY,missing,
2,Hectares,missing,
3,GeoX,decimal,-2.700235W
3,GeoY,decimal,52.051112N
3,NetDwellingsRangeTo,default,11
3,LastUpdatedDate,default,2020-06-09
3,GeoX,missing,
3,GeoY,missing,
3,Hectares,missing,
4,GeoX,decimal,-2.466118W
4,GeoY,decimal,52.080259N
4,NetDwellingsRangeTo,default,5
4,LastUpdatedDate,default,2020-06-09
4,GeoX,missing,
4,GeoY,missing,
4,Hectares,missing,
5,GeoX,decimal,-2.430565W
5,GeoY,decimal,52.105361N
5,NetDwellingsRangeTo,default,6
5,LastUpdatedDate,default,2020-06-09
5,GeoX,missing,
5,GeoY,missing,
5,Hectares,missing,
6,GeoX,decimal,-2.356102W
6,GeoY,decimal,52.081434N
6,NetDwellingsRangeTo,default,31
6,LastUpdatedDate,default,2020-06-09
6,GeoX,missing,
6,GeoY,missing,
6,Hectares,missing,
7,GeoX,decimal,-2.360705W
7,GeoY,decimal,52.078696N
7,NetDwellingsRangeTo,default,18
7,LastUpdatedDate,default,2020-06-09
7,GeoX,missing,
7,GeoY,missing,
7,Hectares,missing,
8,GeoX,decimal,-2.489435W
8,GeoY,decimal,51.893165N
8,NetDwellingsRangeTo,default,5
8,LastUpdatedDate,default,2020-06-09
8,GeoX,missing,
8,GeoY,missing,
8,Hectares,missing,
9,GeoX,decimal,-2.741325W
9,GeoY,decimal,52.226763N
9,NetDwellingsRangeTo,default,7
9,LastUpdatedDate,default,2020-06-09
9,GeoX,missing,
9,GeoY,missing,
9,Hectares,missing,
10,GeoX,decimal,-2.742902W
10,GeoY,decimal,52.225638N
10,NetDwellingsRangeTo,default,14
10,LastUpdatedDate,default,2020-06-09
10,GeoX,missing,
10,GeoY,missing,
10,Hectares,missing,
11,GeoX,decimal,-2.504662W
11,GeoY,decimal,52.190594N
11,NetDwellingsRangeTo,default,5
11,LastUpdatedDate,default,2020-06-09
11,GeoX,missing,
11,GeoY,missing,
11,Hectares,missing,
12,GeoX,decimal,-2.503956W
12,GeoY,decimal,52.188979N
12,NetDwellingsRangeTo,default,7
12,LastUpdatedDate,default,2020-06-09
12,GeoX,missing,
12,GeoY,missing,
12,Hectares,missing,
13,GeoX,decimal,-2.506288W
13,GeoY,decimal,52.189481N
13,NetDwellingsRangeTo,default,6
13,LastUpdatedDate,default,2020-06-09
13,GeoX,missing,
13,GeoY,missing,
13,Hectares,missing,
14,GeoX,decimal,-2.838612W
14,GeoY,decimal,52.019108N
14,NetDwellingsRangeTo,default,9
14,LastUpdatedDate,default,2020-06-09
14,GeoX,missing,
14,GeoY,missing,
14,Hectares,missing,
15,GeoX,decimal,-2.899740W
15,GeoY,decimal,52.068979N
15,NetDwellingsRangeTo,default,5
15,LastUpdatedDate,default,2020-06-09
15,GeoX,missing,
15,GeoY,missing,
15,Hectares,missing,
16,GeoX,decimal,-2.931381W
16,GeoY,decimal,52.102485N
16,NetDwellingsRangeTo,default,10
16,LastUpdatedDate,default,2020-06-09
16,GeoX,missing,
16,GeoY,missing,
16,Hectares,missing,
17,GeoX,decimal,-2.712773W
17,GeoY,decimal,51.901428N
17,NetDwellingsRangeTo,default,5
17,LastUpdatedDate,default,2020-06-09
17,GeoX,missing,
17,GeoY,missing,
17,Hectares,missing,
18,GeoX,decimal,-2.601727W
18,GeoY,decimal,51.866417N
18,NetDwellingsRangeTo,default,5
18,LastUpdatedDate,default,2020-06-09
18,GeoX,missing,
18,GeoY,missing,
18,Hectares,missing,
19,GeoX,decimal,-2.789156W
19,GeoY,decimal,52.073125N
19,NetDwellingsRangeTo,default,8
19,LastUpdatedDate,default,2020-06-09
19,GeoX,missing,
19,GeoY,missing,
19,Hectares,missing,
20,GeoX,decimal,-3.023826W
20,GeoY,decimal,52.204960N
20,NetDwellingsRangeTo,default,10
20,LastUpdatedDate,default,2020-06-09
20,GeoX,missing,
20,GeoY,missing,
20,Hectares,missing,
21,GeoX,decimal,-2.787162W
21,GeoY,decimal,52.137216N
21,NetDwellingsRangeTo,default,10
21,LastUpdatedDate,default,2020-06-09
21,GeoX,missing,
21,GeoY,missing,
21,Hectares,missing,
