row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,700
1,NetDwellingsRangeTo,default,700
2,NetDwellingsRangeFrom,default,85
2,NetDwellingsRangeTo,default,85
3,NetDwellingsRangeFrom,default,5300
3,NetDwellingsRangeTo,default,5300
4,NetDwellingsRangeFrom,default,1100
4,NetDwellingsRangeTo,default,1100
5,NetDwellingsRangeFrom,default,300
5,NetDwellingsRangeTo,default,300
6,NetDwellingsRangeFrom,default,47
6,NetDwellingsRangeTo,default,47
7,NetDwellingsRangeFrom,default,200
7,NetDwellingsRangeTo,default,200
8,NetDwellingsRangeFrom,default,164
8,NetDwellingsRangeTo,default,164
9,NetDwellingsRangeFrom,default,100
9,NetDwellingsRangeTo,default,100
10,NetDwellingsRangeFrom,default,100
10,NetDwellingsRangeTo,default,100
11,Hectares,minimum,0
11,NetDwellingsRangeFrom,default,10
11,NetDwellingsRangeTo,default,10
11,Hectares,missing,
12,NetDwellingsRangeFrom,default,200
12,NetDwellingsRangeTo,default,200
13,NetDwellingsRangeFrom,default,605
13,NetDwellingsRangeTo,default,605
14,NetDwellingsRangeFrom,default,300
14,NetDwellingsRangeTo,default,300
15,NetDwellingsRangeFrom,default,350
15,NetDwellingsRangeTo,default,350
16,NetDwellingsRangeFrom,default,50
16,NetDwellingsRangeTo,default,50
17,NetDwellingsRangeFrom,default,200
17,NetDwellingsRangeTo,default,200
18,NetDwellingsRangeFrom,default,150
18,NetDwellingsRangeTo,default,150
19,NetDwellingsRangeFrom,default,1300
19,NetDwellingsRangeTo,default,1300
20,NetDwellingsRangeFrom,default,300
20,NetDwellingsRangeTo,default,300
21,NetDwellingsRangeFrom,default,50
21,NetDwellingsRangeTo,default,50
22,NetDwellingsRangeFrom,default,424
22,NetDwellingsRangeTo,default,424
23,NetDwellingsRangeFrom,default,250
23,NetDwellingsRangeTo,default,250
24,NetDwellingsRangeFrom,default,1100
24,NetDwellingsRangeTo,default,1100
25,NetDwellingsRangeFrom,default,580
25,NetDwellingsRangeTo,default,580
26,NetDwellingsRangeFrom,default,760
26,NetDwellingsRangeTo,default,760
27,NetDwellingsRangeFrom,default,350
27,NetDwellingsRangeTo,default,350
28,NetDwellingsRangeFrom,default,250
28,NetDwellingsRangeTo,default,250
29,NetDwellingsRangeFrom,default,200
29,NetDwellingsRangeTo,default,200
30,NetDwellingsRangeFrom,default,300
30,NetDwellingsRangeTo,default,300
31,NetDwellingsRangeFrom,default,100
31,NetDwellingsRangeTo,default,100
32,NetDwellingsRangeFrom,default,50
32,NetDwellingsRangeTo,default,50
33,NetDwellingsRangeFrom,default,1400
33,NetDwellingsRangeTo,default,1400
34,NetDwellingsRangeFrom,default,350
34,NetDwellingsRangeTo,default,350
35,NetDwellingsRangeFrom,default,500
35,NetDwellingsRangeTo,default,500
36,NetDwellingsRangeFrom,default,150
36,NetDwellingsRangeTo,default,150
37,NetDwellingsRangeFrom,default,393
37,NetDwellingsRangeTo,default,393
38,NetDwellingsRangeFrom,default,807
38,NetDwellingsRangeTo,default,807
39,NetDwellingsRangeFrom,default,600
39,NetDwellingsRangeTo,default,600
40,NetDwellingsRangeFrom,default,80
40,NetDwellingsRangeTo,default,80
41,NetDwellingsRangeFrom,default,250
41,NetDwellingsRangeTo,default,250
