row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,7
1,NetDwellingsRangeTo,default,7
1,LastUpdatedDate,default,2019-12-14
2,NetDwellingsRangeFrom,default,20
2,NetDwellingsRangeTo,default,20
2,LastUpdatedDate,default,2019-12-14
3,NetDwellingsRangeFrom,default,93
3,NetDwellingsRangeTo,default,93
3,LastUpdatedDate,default,2019-12-14
4,NetDwellingsRangeFrom,default,101
4,NetDwellingsRangeTo,default,101
4,LastUpdatedDate,default,2019-12-14
5,NetDwellingsRangeFrom,default,9
5,NetDwellingsRangeTo,default,9
5,LastUpdatedDate,default,2019-12-14
6,NetDwellingsRangeFrom,default,10
6,NetDwellingsRangeTo,default,10
6,LastUpdatedDate,default,2019-12-14
