row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,10
1,LastUpdatedDate,default,2017-12-18
2,NetDwellingsRangeFrom,default,6
2,LastUpdatedDate,default,2017-12-18
3,NetDwellingsRangeFrom,default,9
3,LastUpdatedDate,default,2017-12-18
4,NetDwellingsRangeFrom,default,9
4,LastUpdatedDate,default,2017-12-18
5,NetDwellingsRangeFrom,default,96
5,LastUpdatedDate,default,2017-12-18
6,NetDwellingsRangeFrom,default,6
6,LastUpdatedDate,default,2017-12-18
7,NetDwellingsRangeFrom,default,17
7,LastUpdatedDate,default,2017-12-18
8,NetDwellingsRangeFrom,default,57
8,LastUpdatedDate,default,2017-12-18
9,NetDwellingsRangeFrom,default,10
9,LastUpdatedDate,default,2017-12-18
10,NetDwellingsRangeFrom,default,9
10,LastUpdatedDate,default,2017-12-18
11,Hectares,decimal,<0.1
11,NetDwellingsRangeFrom,default,8
11,LastUpdatedDate,default,2017-12-18
11,Hectares,missing,
12,Hectares,decimal,<0.1
12,NetDwellingsRangeFrom,default,6
12,LastUpdatedDate,default,2017-12-18
12,Hectares,missing,
13,NetDwellingsRangeFrom,default,41
13,LastUpdatedDate,default,2017-12-18
14,NetDwellingsRangeFrom,default,16
14,LastUpdatedDate,default,2017-12-18
15,NetDwellingsRangeFrom,default,5
15,LastUpdatedDate,default,2017-12-18
16,NetDwellingsRangeFrom,default,30
16,LastUpdatedDate,default,2017-12-18
17,NetDwellingsRangeFrom,default,6
17,LastUpdatedDate,default,2017-12-18
18,NetDwellingsRangeFrom,default,116
18,LastUpdatedDate,default,2017-12-18
19,NetDwellingsRangeFrom,default,45
19,LastUpdatedDate,default,2017-12-18
20,NetDwellingsRangeFrom,default,38
20,LastUpdatedDate,default,2017-12-18
21,NetDwellingsRangeFrom,default,114
21,LastUpdatedDate,default,2017-12-18
22,NetDwellingsRangeFrom,default,8
22,LastUpdatedDate,default,2017-12-18
23,NetDwellingsRangeFrom,default,5
23,LastUpdatedDate,default,2017-12-18
24,NetDwellingsRangeFrom,default,15
24,LastUpdatedDate,default,2017-12-18
25,NetDwellingsRangeFrom,default,25
25,LastUpdatedDate,default,2017-12-18
26,NetDwellingsRangeFrom,default,14
26,LastUpdatedDate,default,2017-12-18
27,NetDwellingsRangeFrom,default,5
27,LastUpdatedDate,default,2017-12-18
28,NetDwellingsRangeFrom,default,300
28,LastUpdatedDate,default,2017-12-18
29,NetDwellingsRangeFrom,default,91
29,LastUpdatedDate,default,2017-12-18
29,"GeoX,GeoY",WGS84 outside England,"31.3157,-0.7486"
30,NetDwellingsRangeFrom,default,35
30,LastUpdatedDate,default,2017-12-18
31,NetDwellingsRangeFrom,default,77
31,LastUpdatedDate,default,2017-12-18
32,NetDwellingsRangeFrom,default,60
32,LastUpdatedDate,default,2017-12-18
33,NetDwellingsRangeFrom,default,9
33,LastUpdatedDate,default,2017-12-18
34,NetDwellingsRangeFrom,default,8
34,LastUpdatedDate,default,2018-12-18
35,NetDwellingsRangeFrom,default,5
35,LastUpdatedDate,default,2018-12-18
36,NetDwellingsRangeFrom,default,12
36,LastUpdatedDate,default,2018-12-18
37,NetDwellingsRangeFrom,default,8
37,LastUpdatedDate,default,2018-12-18
38,NetDwellingsRangeFrom,default,7
38,LastUpdatedDate,default,2018-12-18
39,NetDwellingsRangeFrom,default,6
39,LastUpdatedDate,default,2018-12-18
40,NetDwellingsRangeFrom,default,6
40,LastUpdatedDate,default,2018-12-18
41,NetDwellingsRangeFrom,default,52
41,LastUpdatedDate,default,2018-12-18
42,NetDwellingsRangeFrom,default,5
42,LastUpdatedDate,default,2018-12-18
43,NetDwellingsRangeFrom,default,14
43,LastUpdatedDate,default,2018-12-18
44,NetDwellingsRangeFrom,default,8
44,LastUpdatedDate,default,2018-12-18
45,NetDwellingsRangeFrom,default,9
45,LastUpdatedDate,default,2018-12-18
46,NetDwellingsRangeFrom,default,39
46,LastUpdatedDate,default,2018-12-18
47,NetDwellingsRangeFrom,default,8
47,LastUpdatedDate,default,2018-12-18
48,NetDwellingsRangeFrom,default,8
48,LastUpdatedDate,default,2018-12-18
49,NetDwellingsRangeFrom,default,9
49,LastUpdatedDate,default,2018-12-18
50,NetDwellingsRangeFrom,default,13
50,LastUpdatedDate,default,2018-12-18
51,NetDwellingsRangeFrom,default,9
51,LastUpdatedDate,default,2018-12-18
52,NetDwellingsRangeFrom,default,9
52,LastUpdatedDate,default,2018-12-18
53,NetDwellingsRangeFrom,default,5
53,LastUpdatedDate,default,2018-12-18
54,NetDwellingsRangeFrom,default,8
54,LastUpdatedDate,default,2018-12-18
